"","X","Sample","type","Sex","Number","condition","position","Concentration","OD_1","OD_2","OD_3","OD_mean","blank_mean","log_conc","loganswer","conc"
"1",0,"1","Sample","F",1,"False","A, 1",NA,0.1927,0.2072,NA,0.125683333333333,0.0742666666666667,NA,NA,NA
"2",1,"2","Sample","F",1,"False","A, 3",NA,0.1455,0.1588,NA,0.0778833333333333,0.0742666666666667,NA,NA,NA
"3",2,"3","Sample","F",1,"False","A, 5",NA,0.1425,0.1496,NA,0.0717833333333334,0.0742666666666667,NA,NA,NA
"4",3,"4","Sample","F",1,"True","B, 1",NA,1.2432,1.4531,NA,1.27388333333333,0.0742666666666667,NA,2.84220875882548,695.358485633151
"5",4,"5","Sample","F",1,"True","B, 3",NA,1.2453,1.1771,NA,1.13693333333333,0.0742666666666667,NA,2.79489301227959,623.581198372148
"6",5,"6","Sample","F",1,"True","B, 5",NA,1.2858,1.4045,NA,1.27088333333333,0.0742666666666667,NA,2.84120100894901,693.746825646604
"7",6,"7","Sample","F",2,"False","C, 1",NA,0.1101,0.1293,NA,0.0454333333333333,0.0742666666666667,NA,NA,NA
"8",7,"8","Sample","F",2,"False","C, 3",NA,0.0924,0.164,NA,0.0539333333333333,0.0742666666666667,NA,NA,NA
"9",8,"9","Sample","F",2,"False","C, 5",NA,0.0897,0.0996,NA,0.0203833333333333,0.0742666666666667,NA,NA,NA
"10",9,"10","Sample","F",2,"True","D, 1",NA,2.2959,2.519,NA,2.33318333333333,0.0742666666666667,NA,3.18418875606742,1528.23012384921
"11",10,"11","Sample","F",2,"True","D, 3",NA,2.1638,2.0997,NA,2.05748333333333,0.0742666666666667,NA,3.0907395246108,1232.36547969482
"12",11,"12","Sample","F",2,"True","D, 5",NA,2.5808,2.5167,NA,2.47448333333333,0.0742666666666667,NA,3.23674518345151,1724.82557642271
"13",12,"13","Sample","M",1,"False","E, 1",NA,0.0998,0.2032,NA,0.0772333333333333,0.0742666666666667,NA,NA,NA
"14",13,"14","Sample","M",1,"False","E, 3",NA,0.1712,0.1049,NA,0.0637833333333333,0.0742666666666667,NA,NA,NA
"15",14,"15","Sample","M",1,"False","E, 5",NA,0.0951,0.0945,NA,0.0205333333333333,0.0742666666666667,NA,NA,NA
"16",15,"16","Sample","M",1,"True","F, 1",NA,1.9581,1.9695,NA,1.88953333333333,0.0742666666666667,NA,3.03725547497008,1089.57084801712
"17",16,"17","Sample","M",1,"True","F, 3",NA,1.9072,1.8133,NA,1.78598333333333,0.0742666666666667,NA,3.0049023359856,1011.35199614829
"18",17,"18","Sample","M",1,"True","F, 5",NA,2.1278,2.1167,NA,2.04798333333333,0.0742666666666667,NA,3.08766489136731,1223.67163010701
"19",18,"19","Sample","M",2,"False","G, 1",NA,0.0914,0.124,NA,0.0334333333333333,0.0742666666666667,NA,NA,NA
"20",19,"20","Sample","M",2,"False","G, 3",NA,0.132,0.0929,NA,0.0381833333333333,0.0742666666666667,NA,NA,NA
"21",20,"21","Sample","M",2,"False","G, 5",NA,0.0963,0.0929,NA,0.0203333333333333,0.0742666666666667,NA,NA,NA
"22",21,"22","Sample","M",2,"True","H, 1",NA,1.9957,1.8414,NA,1.84428333333333,0.0742666666666667,NA,3.02308119810796,1054.58404885017
"23",22,"23","Sample","M",2,"True","H, 3",NA,1.5627,1.3525,NA,1.38333333333333,0.0742666666666667,NA,2.87829325647669,755.602274360299
"24",23,"24","Sample","M",2,"True","H, 5",NA,0.9232,0.9025,NA,0.838583333333333,0.0742666666666667,NA,2.67718361461147,475.536234588392
