##BLOCKS= 2          																					
Plate:	LPS Samples Neat	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	1	8	None
		1	2	3	4	5	6	7	8	9	10	11	12								
	22.3	0.1927	0.2072	0.1455	0.1588	0.1425	0.1496	0.0533	0.0529	0.0366	3.4377	3.4158	3.3878								
		1.2432	1.4531	1.2453	1.1771	1.2858	1.4045	0.0509	0.0518	0.031	3.0203	3.1825	3.3713								
		0.1101	0.1293	0.0924	0.164	0.0897	0.0996	0.0514	0.0518	0.0391	2.6063	2.9156	2.8774								
		2.2959	2.519	2.1638	2.0997	2.5808	2.5167	0.0506	0.0526	0.0394	1.6169	1.8803	1.7044								
		0.0998	0.2032	0.1712	0.1049	0.0951	0.0945	0.0516	0.0348	0.0374	1.0183	1.0423	1.0281								
		1.9581	1.9695	1.9072	1.8133	2.1278	2.1167	0.0535	0.0533	0.0468	0.4963	0.496	0.5068								
		0.0914	0.124	0.132	0.0929	0.0963	0.0929	0.0517	0.0532	0.0363	0.2786	0.2987	0.2737								
		1.9957	1.8414	1.5627	1.3525	0.9232	0.9025	0.0575	0.0519	0.0554	0.0718	0.0737	0.0773								
																					
~End																					
Plate:	SECS Titration	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	1	8	None
		1	2	3	4	5	6	7	8	9	10	11	12								
	22.5	2.481	2.2624	2.1949	2.3304	2.206	2.2617	0.0517	0.052	0.0531	2.7143	3.0063	3.158								
		3.1516	3.1789	3.1165	3.1157	3.3856	3.4261	0.0508	0.0513	0.0522	2.8091	2.8511	3.0051								
		2.6035	2.5018	2.3586	2.3317	2.1837	2.0117	0.0507	0.0523	0.0537	2.7123	2.2601	2.2124								
		1.894	1.8526	3.1458	3.26	3.2405	3.1368	0.0505	0.0525	0.0519	1.8305	1.7967	1.553								
		1.2522	1.2095	1.2887	1.1186	2.8027	2.6018	0.0505	0.053	0.0511	1.0503	1.064	1.0901								
		2.7185	2.7635	2.1768	2.3099	3.2883	2.9471	0.0528	0.0532	0.0526	0.6307	0.5873	0.4978								
		2.956	2.8442	2.3515	2.2052	2.8358	2.4442	0.0576	0.0528	0.0513	0.3351	0.2963	0.3978								
		0.0781	0.0832	0.0821	0.0798	0.0904	0.1823	0.0531	0.0526	0.0555	0.1064	0.0884	0.1527								
																					
~End																					
Original Filename: IFNg 111117.pda   Date Last Saved: 11/11/17																					
